"Find companies","legal_name","Normalize Company Name","company_name","Description","Primary Industry","Size","Type","hq_location","Country","domain","LinkedIn URL","Exports Status","Perplexity AI","Update People Search (Find people Table) - 2025-07-23T00:23:14.108Z","Update People Search (Find people Table) - 2025-07-23T05:01:32.416Z","Update People Search (Find people Table) - 2025-07-25T07:31:30.042Z"
,"SPECTROCHEMICAL LABORATORIES - MATERIAL EVALUATION, INC","✅ SPECTROCHEMICAL LABORATORIES","SPECTROCHEMICAL LABORATORIES",,"Chemical Manufacturing","11-50 employees",,"New Kensington, Pennsylvania","United States",,"https://www.linkedin.com/company/spectrochemical-laboratories---material-evaluation-inc",,,,,
,"Banana Rama Inc","✅ Banana Rama","Banana Rama",,"Chemical Manufacturing","11-50 employees",,"Fort Wayne, IN","United States",,"https://www.linkedin.com/company/banana-rama-inc",,,,,
,"Maison Hospitaliere","✅ Maison Hospitaliere","Maison Hospitaliere",,"Chemical Manufacturing","11-50 employees",,"New Orleans, Louisiana","United States",,"https://www.linkedin.com/company/maison-hospitaliere",,,,,
,"ANUVIA PLANT NUTRIENTS CORPORA","✅ ANUVIA PLANT NUTRIENTS CORPORA","ANUVIA PLANT NUTRIENTS CORPORA",,"Chemical Manufacturing","11-50 employees",,"Ashfield, Massachusetts","United States",,"https://www.linkedin.com/company/anuvia-plant-nutrients-corpora",,,,,
,"Essentium Materials, LLC","✅ Essentium Materials","Essentium Materials","As innovators in both materials and production platforms, we are disrupting traditional manufacturing processes by bringing strength and speed together, at scale, with a no-compromise material set. We create industrial solutions for the world’s manufacturers and bridging the gap between 3D printing and machining.","Chemical Manufacturing","11-50 employees",,"College Station, Texas","United States","essentiummaterials.com","https://www.linkedin.com/company/essentium-materials-llc",,,,,
,"Specialized Topicals","✅ Specialized Topicals","Specialized Topicals","Located in Southern California. We believe that specialized topicals demands a specialized set of solutions.

Get access to topical packaging resources without the need to build, maintain, and manage your own production facility. Our specialized services can accommodate a variety of different sizes and types of packaging specifications.

Specialized Topicals has established a list of premier raw and all-natural materials sourcing for packaging and many more applications, allowing us to fully develop your products with only the best materials available. We work with them closely to source the exact materials you need.

Meet manufacturing and distribution goals with storage and blending solutions from Specialized Topicals. At our Specialized Topicals facility, we offer streamlined services provide quality solutions to meet your unique product and packaging needs. Through our methods, we establish a visual dialogue between your brand and its consumers.

We are focused on creating products using the most innovative materials all while keeping future regulations and compliance in consideration. Our product development services combine creativity from design experts, innovative manufacturing technology, and disciplined product management to serve as an invaluable asset to your business and consumers.

In-house design team. Responsive to feedback and market trends. Versatile in packaging and material options. Product design involves more than making a product look appealing. Designers help identify problems and present solutions that create a complete product. Our Creative Department is ready to assist with the launch of any brand.","Chemical Manufacturing","11-50 employees","Privately Held","Los Alamitos, California","United States","specializedtopicals.com","https://www.linkedin.com/company/specialized-topicals",,,,,
,"T.O.C. Chemicals Inc.","✅ T.O.C. Chemicals","T.O.C. Chemicals","T.O.C. Chemicals manufactures and distributes the worlds best cleaning product, TOC-The Only Cleaner. More info to come as our product launch date gets closer.","Chemical Manufacturing","51-200 employees","Privately Held","St Petersburg, FL","United States","theonlycleaner.com","https://www.linkedin.com/company/theonlycleaner",,,,,
,"BonaKemi USA, Inc.","✅ BonaKemi USA","BonaKemi USA",,"Chemical Manufacturing","51-200 employees",,"Aurora, Colorado","United States",,"https://www.linkedin.com/company/bonakemi-usa-inc.",,,,,
,"Heritage Chrysler","✅ Heritage Chrysler","Heritage Chrysler",,"Chemical Manufacturing","11-50 employees",,"Grafton, North Dakota","United States",,"https://www.linkedin.com/company/heritage-chrysler",,,,,
,"Virus Armor Cleanse","✅ Virus Armor Cleanse","Virus Armor Cleanse","Virus Armor Cleanse was formed to provide a new safer disinfectant for a cleaner and safer world by minimizing the spread of disease-causing germs. Our products offer ultimate protection against viruses, bacteria, and other microbes in the air as well as on surfaces.","Chemical Manufacturing","11-50 employees","Privately Held","Fort Worth, Texas","United States","hoclcleanse.com","https://www.linkedin.com/company/virus-armor-cleanse",,,,,
,"USA Data","✅ USA Data","USA Data",,"Chemical Manufacturing","11-50 employees",,"Schroon Lake, New York","United States",,"https://www.linkedin.com/company/usa-data",,,,,
,"Uncle Bucks","✅ Uncle Bucks","Uncle Bucks",,"Chemical Manufacturing","11-50 employees",,"Toppenish, Washington","United States",,"https://www.linkedin.com/company/uncle-bucks",,,,,
,"T TRANSPORT","✅ T TRANSPORT","T TRANSPORT",,"Chemical Manufacturing","11-50 employees",,"RANCHO CORDOVA, CA","United States",,"https://www.linkedin.com/company/t-transport",,,,,
,"Zapata International Ltd Co","✅ Zapata International Ltd","Zapata International Ltd",,"Chemical Manufacturing","11-50 employees",,"Mission, Texas","United States",,"https://www.linkedin.com/company/zapata-international-ltd-co",,,,,
,"Suncoast Materials","✅ Suncoast Materials","Suncoast Materials","We provide reliable and efficient cement blending services for wellsite abandonment, remediation, and drilling for oilfield companies across North America. Blending nearly 20,000 tons of concrete per year, we have the knowledge and expertise to provide you with a chemical concrete solution that ensures a successful outcome for your operations.","Chemical Manufacturing","11-50 employees","Public Company","Bakersfield, California","United States","suncoastmaterials.net","https://www.linkedin.com/company/suncoast-materials",,,,,
,"Coastal Gulf Inc","✅ Coastal Gulf","Coastal Gulf",,"Chemical Manufacturing","11-50 employees",,"Pasadena, Texas","United States","coastalgulf.com","https://www.linkedin.com/company/coastal-gulf-inc",,,,,
,"Euro Cleaning","✅ Euro Cleaning","Euro Cleaning",,"Chemical Manufacturing","11-50 employees",,"Grand Rapids, Michigan","United States",,"https://www.linkedin.com/company/euro-cleaning",,,,,
,"FIORAVANTI CUSTOM PRODUCTS, LLC DBA ESSENTIAL WHOLESALE & LABS","✅ FIORAVANTI CUSTOM PRODUCTS","FIORAVANTI CUSTOM PRODUCTS",,"Chemical Manufacturing","11-50 employees",,"Portland, Oregon","United States",,"https://www.linkedin.com/company/fioravanti-custom-products-llc-dba-essential-wholesale-&-labs",,,,,
,"THE VALLEY FERTILIZER CHEMICAL CO, INC","✅ THE VALLEY FERTILIZER CHEMICAL CO","THE VALLEY FERTILIZER CHEMICAL CO",,"Chemical Manufacturing","11-50 employees",,"Mount Jackson, Virginia","United States",,"https://www.linkedin.com/company/the-valley-fertilizer-chemical-co-inc",,,,,
,"AWF Fumigators","✅ AWF Fumigators","AWF Fumigators",,"Chemical Manufacturing","11-50 employees",,"Tampa, Florida","United States",,"https://www.linkedin.com/company/awf-fumigators",,,,,
,"Gulbrandsen Manufacturing, Inc.","✅ Gulbrandsen Manufacturing","Gulbrandsen Manufacturing",,"Chemical Manufacturing","11-50 employees",,"Orangeburg, South Carolina","United States",,"https://www.linkedin.com/company/gulbrandsen-manufacturing-inc.",,,,,
,"MOLECULAR TOXICOLOGY INC","✅ MOLECULAR TOXICOLOGY","MOLECULAR TOXICOLOGY",,"Chemical Manufacturing","11-50 employees",,"Boone, North Carolina","United States",,"https://www.linkedin.com/company/molecular-toxicology-inc",,,,,
,"GULF COAST COMPANIES, INC","✅ GULF COAST COMPANIES","GULF COAST COMPANIES",,"Chemical Manufacturing","51-200 employees",,"Abbeville, Louisiana","United States",,"https://www.linkedin.com/company/gulf-coast-companies-inc",,,,,
,"YMCA Day Camp","✅ YMCA Day Camp","YMCA Day Camp",,"Chemical Manufacturing","11-50 employees",,"Williamston, Michigan","United States",,"https://www.linkedin.com/company/ymca-day-camp",,,,,
,"PolyChem Alloy, Inc.","✅ PolyChem Alloy","PolyChem Alloy","A globally recognized developer and manufacturer of specialty compounds and concentrates for the plastics industry, antimicrobial additive","Chemical Manufacturing","11-50 employees",,"Lenoir, North Carolina","United States","polychemalloy.com","https://www.linkedin.com/company/polychem-alloy-inc.",,,,,
,"Byrne Specialty Gases Inc","✅ Byrne Specialty Gases","Byrne Specialty Gases",,"Chemical Manufacturing","11-50 employees",,"Seattle, Washington","United States","byrnegas.com","https://www.linkedin.com/company/byrne-specialty-gases-inc",,,,,
,"Kolmar Labs Group Inc.","✅ Kolmar Labs Group","Kolmar Labs Group",,"Chemical Manufacturing","501-1,000 employees",,"Port Jervis, New York","United States",,"https://www.linkedin.com/company/kolmar-labs-group-inc.",,,,,
,"ANACHEMIA CHEMICALS, LLC","✅ ANACHEMIA CHEMICALS","ANACHEMIA CHEMICALS",,"Chemical Manufacturing","11-50 employees",,"ROUSES POINT, New York","United States","anachemiachemicals.com","https://www.linkedin.com/company/anachemia-chemicals-llc",,,,,
,"Plyler Paper Stock Co","✅ Plyler Paper Stock","Plyler Paper Stock",,"Chemical Manufacturing","11-50 employees",,"Charlotte, North Carolina","United States",,"https://www.linkedin.com/company/plyler-paper-stock-co",,,,,
,"Adheco Inc","✅ Adheco","Adheco",,"Chemical Manufacturing","11-50 employees",,"Greer, South Carolina","United States",,"https://www.linkedin.com/company/adheco-inc",,,,,
,"Burstein Technologies, Inc.","✅ Burstein Technologies","Burstein Technologies",,"Chemical Manufacturing","11-50 employees",,"Irvine, CA","United States",,"https://www.linkedin.com/company/burstein-technologies-inc-",,,,,
,"Plastic Glass","✅ Plastic Glass","Plastic Glass",,"Chemical Manufacturing","11-50 employees",,"Prescott, Arizona","United States",,"https://www.linkedin.com/company/plastic-glass",,,,,
,"Excalibur Cleaning Supplies","✅ Excalibur Cleaning Supplies","Excalibur Cleaning Supplies","Excalibur provides industrial strength cleaning products for home and business.  The newest concept in cleaning products are our Excalibur StrongPaks, water soluble paks containing the concentrated cleaning chemicals.  Not just strong, Excalibur Strong!","Chemical Manufacturing","11-50 employees","Privately Held","Royse City, TX","United States","excaliburstrong.com","https://www.linkedin.com/company/excalibur-cleaning-supplies",,,,,
,"Applegate Farm Ice Cream","✅ Applegate Farm Ice Cream","Applegate Farm Ice Cream",,"Chemical Manufacturing","11-50 employees",,"Totowa, New Jersey","United States","applegatefarm.com","https://www.linkedin.com/company/applegate-farm-ice-cream",,,,,
,"PB Leiner USA Corp.","✅ PB Leiner USA Corp.","PB Leiner USA Corp.",,"Chemical Manufacturing","51-200 employees",,"Davenport, Iowa","United States",,"https://www.linkedin.com/company/pb-leiner-usa-corp.",,,,,
,"PAL Cleaning Corporation","✅ PAL Cleaning","PAL Cleaning","Manufacturer of premium cleaning chemicals and products.","Chemical Manufacturing","11-50 employees","Privately Held","Bronx","United States",,"https://www.linkedin.com/company/pal-cleaning-corporation",,,,,
,"ENID CONCRETE CO INC","✅ ENID CONCRETE CO","ENID CONCRETE CO",,"Chemical Manufacturing","201-500 employees",,"Enid, Oklahoma","United States",,"https://www.linkedin.com/company/enid-concrete-co-inc",,,,,
,"Danafilms Corp.","✅ Danafilms Corp.","Danafilms Corp.","A division of Inteplast Group, Inteplast Engineered Films (IEF) formulates high quality plastic films for printers, converters and end users","Chemical Manufacturing","51-200 employees",,"Westborough, Massachusetts","United States","danafilms.com","https://www.linkedin.com/company/danafilms-corp.",,,,,
,"Arysta LifeScience North America, LLC","✅ Arysta LifeScience North America","Arysta LifeScience North America","Arysta LifeScience, LifeScience","Chemical Manufacturing","201-500 employees",,"Cary, North Carolina","United States","arysta-na.com","https://www.linkedin.com/company/arysta-lifescience-north-america-llc",,,,,
,"Chem-Tex Laboratories, Inc.","✅ Chem-Tex Laboratories","Chem-Tex Laboratories",,"Chemical Manufacturing","11-50 employees",,"Concord, North Carolina","United States","chemtexlaboratories.com","https://www.linkedin.com/company/chem-tex-laboratories-inc.",,,,,
,"Trans Agro","✅ Trans Agro","Trans Agro",,"Chemical Manufacturing","11-50 employees",,"Salinas, California","United States",,"https://www.linkedin.com/company/trans-agro",,,,,
,"SealMaster Pavement Products & Equipment","✅ SealMaster Pavement Products & Equipment","SealMaster Pavement Products & Equipment",,"Chemical Manufacturing","11-50 employees",,"Sandusky, Ohio","United States",,"https://www.linkedin.com/company/sealmaster-pavement-products-&-equipment",,,,,
,"ELECTRO GLASS PRODUCTS, INC","✅ ELECTRO GLASS PRODUCTS","ELECTRO GLASS PRODUCTS",,"Chemical Manufacturing","11-50 employees",,"Mammoth, Pennsylvania","United States",,"https://www.linkedin.com/company/electro-glass-products-inc",,,,,
